Year, Number of Households
800, 14
801, 16
802, 17
803, 17
804, 18
805, 18
806, 19
807, 19
808, 18
809, 18
810, 20
811, 20
812, 19
813, 19
814, 20
815, 20
816, 20
817, 19
818, 18
819, 18
820, 17
821, 17
822, 16
823, 17
824, 17
825, 17
826, 19
827, 20
828, 20
829, 20
830, 22
831, 21
832, 22
833, 21
834, 20
835, 20
836, 20
837, 20
838, 20
839, 20
840, 20
841, 18
842, 17
843, 17
844, 18
845, 18
846, 17
847, 16
848, 16
849, 16
850, 17
851, 19
852, 22
853, 23
854, 22
855, 23
856, 23
857, 22
858, 23
859, 22
860, 22
861, 22
862, 22
863, 21
864, 21
865, 20
866, 19
867, 18
868, 17
869, 17
870, 19
871, 19
872, 18
873, 18
874, 19
875, 20
876, 21
877, 25
878, 23
879, 25
880, 24
881, 22
882, 22
883, 23
884, 24
885, 24
886, 24
887, 24
888, 25
889, 24
890, 24
891, 22
892, 20
893, 21
894, 21
895, 22
896, 22
897, 24
898, 27
899, 30
900, 29
901, 29
902, 30
903, 31
904, 32
905, 31
906, 30
907, 28
908, 30
909, 31
910, 30
911, 30
912, 28
913, 27
914, 27
915, 26
916, 26
917, 27
918, 26
919, 25
920, 27
921, 18
922, 18
923, 20
924, 22
925, 14
926, 10
927, 11
928, 11
929, 11
930, 11
931, 6
932, 6
933, 6
934, 7
935, 7
936, 6
937, 6
938, 6
939, 6
940, 7
941, 7
942, 7
943, 7
944, 6
945, 5
946, 4
947, 4
948, 3
949, 3
950, 3
951, 3
952, 3
953, 3
954, 3
955, 2
956, 1
957, 1
958, 1
959, 1
960, 1
961, 1
962, 1
963, 1
964, 1
965, 1
966, 1
967, 1
968, 1
969, 1
970, 1
971, 1
972, 1
973, 1
974, 1
975, 1
976, 1
977, 0
978, 0
979, 0
980, 0
981, 0
982, 0
983, 0
984, 0
985, 0
986, 0
987, 0
988, 0
989, 0
990, 0
991, 0
992, 0
993, 0
994, 0
995, 0
996, 0
997, 0
998, 0
999, 0
1000, 0
1001, 0
1002, 0
1003, 0
1004, 0
1005, 0
1006, 0
1007, 0
1008, 0
1009, 0
1010, 0
1011, 0
1012, 0
1013, 0
1014, 0
1015, 0
1016, 0
1017, 0
1018, 0
1019, 0
1020, 0
1021, 0
1022, 0
1023, 0
1024, 0
1025, 0
1026, 0
1027, 0
1028, 0
1029, 0
1030, 0
1031, 0
1032, 0
1033, 0
1034, 0
1035, 0
1036, 0
1037, 0
1038, 0
1039, 0
1040, 0
1041, 0
1042, 0
1043, 0
1044, 0
1045, 0
1046, 0
1047, 0
1048, 0
1049, 0
1050, 0
1051, 0
1052, 0
1053, 0
1054, 0
1055, 0
1056, 0
1057, 0
1058, 0
1059, 0
1060, 0
1061, 0
1062, 0
1063, 0
1064, 0
1065, 0
1066, 0
1067, 0
1068, 0
1069, 0
1070, 0
1071, 0
1072, 0
1073, 0
1074, 0
1075, 0
1076, 0
1077, 0
1078, 0
1079, 0
1080, 0
1081, 0
1082, 0
1083, 0
1084, 0
1085, 0
1086, 0
1087, 0
1088, 0
1089, 0
1090, 0
1091, 0
1092, 0
1093, 0
1094, 0
1095, 0
1096, 0
1097, 0
1098, 0
1099, 0
1100, 0
1101, 0
1102, 0
1103, 0
1104, 0
1105, 0
1106, 0
1107, 0
1108, 0
1109, 0
1110, 0
1111, 0
1112, 0
1113, 0
1114, 0
1115, 0
1116, 0
1117, 0
1118, 0
1119, 0
1120, 0
1121, 0
1122, 0
1123, 0
1124, 0
1125, 0
1126, 0
1127, 0
1128, 0
1129, 0
1130, 0
1131, 0
1132, 0
1133, 0
1134, 0
1135, 0
1136, 0
1137, 0
1138, 0
1139, 0
1140, 0
1141, 0
1142, 0
1143, 0
1144, 0
1145, 0
1146, 0
1147, 0
1148, 0
1149, 0
1150, 0
1151, 0
1152, 0
1153, 0
1154, 0
1155, 0
1156, 0
1157, 0
1158, 0
1159, 0
1160, 0
1161, 0
1162, 0
1163, 0
1164, 0
1165, 0
1166, 0
1167, 0
1168, 0
1169, 0
1170, 0
1171, 0
1172, 0
1173, 0
1174, 0
1175, 0
1176, 0
1177, 0
1178, 0
1179, 0
1180, 0
1181, 0
1182, 0
1183, 0
1184, 0
1185, 0
1186, 0
1187, 0
1188, 0
1189, 0
1190, 0
1191, 0
1192, 0
1193, 0
1194, 0
1195, 0
1196, 0
1197, 0
1198, 0
1199, 0
1200, 0
1201, 0
1202, 0
1203, 0
1204, 0
1205, 0
1206, 0
1207, 0
1208, 0
1209, 0
1210, 0
1211, 0
1212, 0
1213, 0
1214, 0
1215, 0
1216, 0
1217, 0
1218, 0
1219, 0
1220, 0
1221, 0
1222, 0
1223, 0
1224, 0
1225, 0
1226, 0
1227, 0
1228, 0
1229, 0
1230, 0
1231, 0
1232, 0
1233, 0
1234, 0
1235, 0
1236, 0
1237, 0
1238, 0
1239, 0
1240, 0
1241, 0
1242, 0
1243, 0
1244, 0
1245, 0
1246, 0
1247, 0
1248, 0
1249, 0
1250, 0
