Year, Number of Households
800, 14
801, 16
802, 17
803, 18
804, 19
805, 19
806, 18
807, 17
808, 16
809, 17
810, 16
811, 16
812, 15
813, 15
814, 15
815, 15
816, 13
817, 13
818, 13
819, 13
820, 13
821, 13
822, 12
823, 13
824, 13
825, 12
826, 12
827, 12
828, 12
829, 12
830, 13
831, 12
832, 12
833, 12
834, 11
835, 10
836, 10
837, 10
838, 9
839, 9
840, 8
841, 7
842, 7
843, 7
844, 7
845, 7
846, 8
847, 7
848, 7
849, 7
850, 8
851, 9
852, 9
853, 8
854, 8
855, 8
856, 8
857, 7
858, 7
859, 8
860, 8
861, 8
862, 7
863, 7
864, 6
865, 7
866, 7
867, 7
868, 7
869, 8
870, 8
871, 9
872, 9
873, 10
874, 11
875, 11
876, 11
877, 10
878, 10
879, 11
880, 11
881, 11
882, 11
883, 11
884, 11
885, 11
886, 11
887, 12
888, 12
889, 12
890, 12
891, 12
892, 12
893, 13
894, 14
895, 12
896, 12
897, 12
898, 12
899, 12
900, 13
901, 13
902, 12
903, 12
904, 12
905, 11
906, 10
907, 9
908, 9
909, 10
910, 11
911, 11
912, 10
913, 10
914, 10
915, 10
916, 10
917, 11
918, 12
919, 12
920, 12
921, 12
922, 10
923, 11
924, 10
925, 8
926, 8
927, 8
928, 7
929, 7
930, 8
931, 8
932, 8
933, 8
934, 8
935, 8
936, 9
937, 8
938, 8
939, 8
940, 9
941, 10
942, 11
943, 10
944, 10
945, 10
946, 9
947, 9
948, 9
949, 9
950, 10
951, 10
952, 9
953, 9
954, 8
955, 7
956, 7
957, 7
958, 7
959, 7
960, 7
961, 7
962, 8
963, 8
964, 9
965, 8
966, 7
967, 6
968, 6
969, 4
970, 3
971, 3
972, 3
973, 3
974, 3
975, 3
976, 3
977, 3
978, 2
979, 2
980, 2
981, 2
982, 2
983, 2
984, 2
985, 2
986, 2
987, 2
988, 2
989, 2
990, 2
991, 2
992, 1
993, 1
994, 1
995, 1
996, 1
997, 1
998, 1
999, 0
1000, 0
1001, 0
1002, 0
1003, 0
1004, 0
1005, 0
1006, 0
1007, 0
1008, 0
1009, 0
1010, 0
1011, 0
1012, 0
1013, 0
1014, 0
1015, 0
1016, 0
1017, 0
1018, 0
1019, 0
1020, 0
1021, 0
1022, 0
1023, 0
1024, 0
1025, 0
1026, 0
1027, 0
1028, 0
1029, 0
1030, 0
1031, 0
1032, 0
1033, 0
1034, 0
1035, 0
1036, 0
1037, 0
1038, 0
1039, 0
1040, 0
1041, 0
1042, 0
1043, 0
1044, 0
1045, 0
1046, 0
1047, 0
1048, 0
1049, 0
1050, 0
1051, 0
1052, 0
1053, 0
1054, 0
1055, 0
1056, 0
1057, 0
1058, 0
1059, 0
1060, 0
1061, 0
1062, 0
1063, 0
1064, 0
1065, 0
1066, 0
1067, 0
1068, 0
1069, 0
1070, 0
1071, 0
1072, 0
1073, 0
1074, 0
1075, 0
1076, 0
1077, 0
1078, 0
1079, 0
1080, 0
1081, 0
1082, 0
1083, 0
1084, 0
1085, 0
1086, 0
1087, 0
1088, 0
1089, 0
1090, 0
1091, 0
1092, 0
1093, 0
1094, 0
1095, 0
1096, 0
1097, 0
1098, 0
1099, 0
1100, 0
1101, 0
1102, 0
1103, 0
1104, 0
1105, 0
1106, 0
1107, 0
1108, 0
1109, 0
1110, 0
1111, 0
1112, 0
1113, 0
1114, 0
1115, 0
1116, 0
1117, 0
1118, 0
1119, 0
1120, 0
1121, 0
1122, 0
1123, 0
1124, 0
1125, 0
1126, 0
1127, 0
1128, 0
1129, 0
1130, 0
1131, 0
1132, 0
1133, 0
1134, 0
1135, 0
1136, 0
1137, 0
1138, 0
1139, 0
1140, 0
1141, 0
1142, 0
1143, 0
1144, 0
1145, 0
1146, 0
1147, 0
1148, 0
1149, 0
1150, 0
1151, 0
1152, 0
1153, 0
1154, 0
1155, 0
1156, 0
1157, 0
1158, 0
1159, 0
1160, 0
1161, 0
1162, 0
1163, 0
1164, 0
1165, 0
1166, 0
1167, 0
1168, 0
1169, 0
1170, 0
1171, 0
1172, 0
1173, 0
1174, 0
1175, 0
1176, 0
1177, 0
1178, 0
1179, 0
1180, 0
1181, 0
1182, 0
1183, 0
1184, 0
1185, 0
1186, 0
1187, 0
1188, 0
1189, 0
1190, 0
1191, 0
1192, 0
1193, 0
1194, 0
1195, 0
1196, 0
1197, 0
1198, 0
1199, 0
1200, 0
1201, 0
1202, 0
1203, 0
1204, 0
1205, 0
1206, 0
1207, 0
1208, 0
1209, 0
1210, 0
1211, 0
1212, 0
1213, 0
1214, 0
1215, 0
1216, 0
1217, 0
1218, 0
1219, 0
1220, 0
1221, 0
1222, 0
1223, 0
1224, 0
1225, 0
1226, 0
1227, 0
1228, 0
1229, 0
1230, 0
1231, 0
1232, 0
1233, 0
1234, 0
1235, 0
1236, 0
1237, 0
1238, 0
1239, 0
1240, 0
1241, 0
1242, 0
1243, 0
1244, 0
1245, 0
1246, 0
1247, 0
1248, 0
1249, 0
1250, 0
