Year, Number of Households
800, 14
801, 16
802, 18
803, 19
804, 19
805, 19
806, 18
807, 17
808, 16
809, 17
810, 19
811, 19
812, 18
813, 18
814, 18
815, 18
816, 18
817, 17
818, 16
819, 16
820, 18
821, 18
822, 20
823, 20
824, 21
825, 21
826, 23
827, 26
828, 27
829, 28
830, 29
831, 29
832, 28
833, 27
834, 27
835, 27
836, 28
837, 28
838, 32
839, 33
840, 34
841, 33
842, 35
843, 35
844, 34
845, 33
846, 36
847, 38
848, 41
849, 41
850, 42
851, 47
852, 51
853, 53
854, 54
855, 55
856, 53
857, 56
858, 56
859, 58
860, 60
861, 59
862, 60
863, 63
864, 67
865, 69
866, 69
867, 68
868, 66
869, 69
870, 73
871, 74
872, 75
873, 76
874, 78
875, 78
876, 79
877, 78
878, 84
879, 89
880, 89
881, 90
882, 86
883, 84
884, 75
885, 79
886, 77
887, 80
888, 76
889, 65
890, 70
891, 60
892, 47
893, 44
894, 43
895, 41
896, 43
897, 43
898, 46
899, 39
900, 38
901, 28
902, 25
903, 24
904, 23
905, 23
906, 27
907, 22
908, 18
909, 16
910, 16
911, 14
912, 12
913, 12
914, 11
915, 13
916, 13
917, 13
918, 14
919, 13
920, 13
921, 8
922, 8
923, 8
924, 7
925, 5
926, 5
927, 5
928, 5
929, 5
930, 6
931, 4
932, 4
933, 5
934, 5
935, 5
936, 3
937, 3
938, 4
939, 4
940, 4
941, 4
942, 4
943, 3
944, 3
945, 3
946, 4
947, 4
948, 4
949, 4
950, 4
951, 4
952, 2
953, 1
954, 1
955, 0
956, 0
957, 0
958, 0
959, 0
960, 0
961, 0
962, 0
963, 0
964, 0
965, 0
966, 0
967, 0
968, 0
969, 0
970, 0
971, 0
972, 0
973, 0
974, 0
975, 0
976, 0
977, 0
978, 0
979, 0
980, 0
981, 0
982, 0
983, 0
984, 0
985, 0
986, 0
987, 0
988, 0
989, 0
990, 0
991, 0
992, 0
993, 0
994, 0
995, 0
996, 0
997, 0
998, 0
999, 0
1000, 0
1001, 0
1002, 0
1003, 0
1004, 0
1005, 0
1006, 0
1007, 0
1008, 0
1009, 0
1010, 0
1011, 0
1012, 0
1013, 0
1014, 0
1015, 0
1016, 0
1017, 0
1018, 0
1019, 0
1020, 0
1021, 0
1022, 0
1023, 0
1024, 0
1025, 0
1026, 0
1027, 0
1028, 0
1029, 0
1030, 0
1031, 0
1032, 0
1033, 0
1034, 0
1035, 0
1036, 0
1037, 0
1038, 0
1039, 0
1040, 0
1041, 0
1042, 0
1043, 0
1044, 0
1045, 0
1046, 0
1047, 0
1048, 0
1049, 0
1050, 0
1051, 0
1052, 0
1053, 0
1054, 0
1055, 0
1056, 0
1057, 0
1058, 0
1059, 0
1060, 0
1061, 0
1062, 0
1063, 0
1064, 0
1065, 0
1066, 0
1067, 0
1068, 0
1069, 0
1070, 0
1071, 0
1072, 0
1073, 0
1074, 0
1075, 0
1076, 0
1077, 0
1078, 0
1079, 0
1080, 0
1081, 0
1082, 0
1083, 0
1084, 0
1085, 0
1086, 0
1087, 0
1088, 0
1089, 0
1090, 0
1091, 0
1092, 0
1093, 0
1094, 0
1095, 0
1096, 0
1097, 0
1098, 0
1099, 0
1100, 0
1101, 0
1102, 0
1103, 0
1104, 0
1105, 0
1106, 0
1107, 0
1108, 0
1109, 0
1110, 0
1111, 0
1112, 0
1113, 0
1114, 0
1115, 0
1116, 0
1117, 0
1118, 0
1119, 0
1120, 0
1121, 0
1122, 0
1123, 0
1124, 0
1125, 0
1126, 0
1127, 0
1128, 0
1129, 0
1130, 0
1131, 0
1132, 0
1133, 0
1134, 0
1135, 0
1136, 0
1137, 0
1138, 0
1139, 0
1140, 0
1141, 0
1142, 0
1143, 0
1144, 0
1145, 0
1146, 0
1147, 0
1148, 0
1149, 0
1150, 0
1151, 0
1152, 0
1153, 0
1154, 0
1155, 0
1156, 0
1157, 0
1158, 0
1159, 0
1160, 0
1161, 0
1162, 0
1163, 0
1164, 0
1165, 0
1166, 0
1167, 0
1168, 0
1169, 0
1170, 0
1171, 0
1172, 0
1173, 0
1174, 0
1175, 0
1176, 0
1177, 0
1178, 0
1179, 0
1180, 0
1181, 0
1182, 0
1183, 0
1184, 0
1185, 0
1186, 0
1187, 0
1188, 0
1189, 0
1190, 0
1191, 0
1192, 0
1193, 0
1194, 0
1195, 0
1196, 0
1197, 0
1198, 0
1199, 0
1200, 0
1201, 0
1202, 0
1203, 0
1204, 0
1205, 0
1206, 0
1207, 0
1208, 0
1209, 0
1210, 0
1211, 0
1212, 0
1213, 0
1214, 0
1215, 0
1216, 0
1217, 0
1218, 0
1219, 0
1220, 0
1221, 0
1222, 0
1223, 0
1224, 0
1225, 0
1226, 0
1227, 0
1228, 0
1229, 0
1230, 0
1231, 0
1232, 0
1233, 0
1234, 0
1235, 0
1236, 0
1237, 0
1238, 0
1239, 0
1240, 0
1241, 0
1242, 0
1243, 0
1244, 0
1245, 0
1246, 0
1247, 0
1248, 0
1249, 0
1250, 0
