Year, Number of Households
800, 14
801, 15
802, 16
803, 15
804, 15
805, 14
806, 13
807, 12
808, 13
809, 11
810, 11
811, 12
812, 12
813, 12
814, 12
815, 11
816, 11
817, 11
818, 11
819, 11
820, 10
821, 9
822, 9
823, 9
824, 9
825, 9
826, 10
827, 10
828, 10
829, 11
830, 9
831, 9
832, 9
833, 9
834, 10
835, 11
836, 12
837, 12
838, 12
839, 11
840, 11
841, 11
842, 11
843, 11
844, 11
845, 11
846, 11
847, 11
848, 10
849, 10
850, 9
851, 9
852, 9
853, 9
854, 9
855, 9
856, 11
857, 11
858, 11
859, 10
860, 11
861, 11
862, 10
863, 10
864, 10
865, 10
866, 10
867, 9
868, 9
869, 9
870, 8
871, 8
872, 8
873, 8
874, 9
875, 9
876, 9
877, 8
878, 9
879, 9
880, 9
881, 9
882, 9
883, 9
884, 9
885, 8
886, 8
887, 8
888, 7
889, 6
890, 6
891, 6
892, 6
893, 7
894, 7
895, 7
896, 7
897, 7
898, 6
899, 7
900, 6
901, 6
902, 6
903, 6
904, 6
905, 6
906, 5
907, 5
908, 4
909, 4
910, 3
911, 3
912, 3
913, 4
914, 5
915, 6
916, 6
917, 7
918, 8
919, 8
920, 8
921, 8
922, 8
923, 8
924, 7
925, 7
926, 7
927, 7
928, 7
929, 7
930, 7
931, 6
932, 6
933, 6
934, 7
935, 7
936, 7
937, 9
938, 9
939, 9
940, 9
941, 8
942, 7
943, 7
944, 7
945, 7
946, 6
947, 6
948, 6
949, 6
950, 6
951, 6
952, 5
953, 4
954, 4
955, 5
956, 5
957, 6
958, 7
959, 7
960, 7
961, 7
962, 6
963, 6
964, 5
965, 5
966, 5
967, 5
968, 4
969, 4
970, 3
971, 3
972, 3
973, 3
974, 3
975, 3
976, 3
977, 3
978, 3
979, 3
980, 3
981, 4
982, 4
983, 4
984, 4
985, 4
986, 4
987, 4
988, 4
989, 4
990, 4
991, 3
992, 3
993, 1
994, 1
995, 1
996, 1
997, 1
998, 1
999, 1
1000, 1
1001, 1
1002, 1
1003, 1
1004, 1
1005, 1
1006, 1
1007, 1
1008, 1
1009, 1
1010, 0
1011, 0
1012, 0
1013, 0
1014, 0
1015, 0
1016, 0
1017, 0
1018, 0
1019, 0
1020, 0
1021, 0
1022, 0
1023, 0
1024, 0
1025, 0
1026, 0
1027, 0
1028, 0
1029, 0
1030, 0
1031, 0
1032, 0
1033, 0
1034, 0
1035, 0
1036, 0
1037, 0
1038, 0
1039, 0
1040, 0
1041, 0
1042, 0
1043, 0
1044, 0
1045, 0
1046, 0
1047, 0
1048, 0
1049, 0
1050, 0
1051, 0
1052, 0
1053, 0
1054, 0
1055, 0
1056, 0
1057, 0
1058, 0
1059, 0
1060, 0
1061, 0
1062, 0
1063, 0
1064, 0
1065, 0
1066, 0
1067, 0
1068, 0
1069, 0
1070, 0
1071, 0
1072, 0
1073, 0
1074, 0
1075, 0
1076, 0
1077, 0
1078, 0
1079, 0
1080, 0
1081, 0
1082, 0
1083, 0
1084, 0
1085, 0
1086, 0
1087, 0
1088, 0
1089, 0
1090, 0
1091, 0
1092, 0
1093, 0
1094, 0
1095, 0
1096, 0
1097, 0
1098, 0
1099, 0
1100, 0
1101, 0
1102, 0
1103, 0
1104, 0
1105, 0
1106, 0
1107, 0
1108, 0
1109, 0
1110, 0
1111, 0
1112, 0
1113, 0
1114, 0
1115, 0
1116, 0
1117, 0
1118, 0
1119, 0
1120, 0
1121, 0
1122, 0
1123, 0
1124, 0
1125, 0
1126, 0
1127, 0
1128, 0
1129, 0
1130, 0
1131, 0
1132, 0
1133, 0
1134, 0
1135, 0
1136, 0
1137, 0
1138, 0
1139, 0
1140, 0
1141, 0
1142, 0
1143, 0
1144, 0
1145, 0
1146, 0
1147, 0
1148, 0
1149, 0
1150, 0
1151, 0
1152, 0
1153, 0
1154, 0
1155, 0
1156, 0
1157, 0
1158, 0
1159, 0
1160, 0
1161, 0
1162, 0
1163, 0
1164, 0
1165, 0
1166, 0
1167, 0
1168, 0
1169, 0
1170, 0
1171, 0
1172, 0
1173, 0
1174, 0
1175, 0
1176, 0
1177, 0
1178, 0
1179, 0
1180, 0
1181, 0
1182, 0
1183, 0
1184, 0
1185, 0
1186, 0
1187, 0
1188, 0
1189, 0
1190, 0
1191, 0
1192, 0
1193, 0
1194, 0
1195, 0
1196, 0
1197, 0
1198, 0
1199, 0
1200, 0
1201, 0
1202, 0
1203, 0
1204, 0
1205, 0
1206, 0
1207, 0
1208, 0
1209, 0
1210, 0
1211, 0
1212, 0
1213, 0
1214, 0
1215, 0
1216, 0
1217, 0
1218, 0
1219, 0
1220, 0
1221, 0
1222, 0
1223, 0
1224, 0
1225, 0
1226, 0
1227, 0
1228, 0
1229, 0
1230, 0
1231, 0
1232, 0
1233, 0
1234, 0
1235, 0
1236, 0
1237, 0
1238, 0
1239, 0
1240, 0
1241, 0
1242, 0
1243, 0
1244, 0
1245, 0
1246, 0
1247, 0
1248, 0
1249, 0
1250, 0
