Year, Number of Households
800, 14
801, 15
802, 16
803, 15
804, 14
805, 15
806, 12
807, 12
808, 11
809, 12
810, 12
811, 11
812, 10
813, 10
814, 11
815, 11
816, 10
817, 10
818, 10
819, 10
820, 9
821, 9
822, 9
823, 10
824, 10
825, 10
826, 11
827, 11
828, 11
829, 13
830, 13
831, 13
832, 13
833, 12
834, 13
835, 13
836, 14
837, 13
838, 13
839, 13
840, 13
841, 13
842, 13
843, 12
844, 13
845, 12
846, 13
847, 14
848, 14
849, 15
850, 16
851, 14
852, 14
853, 14
854, 15
855, 14
856, 14
857, 14
858, 14
859, 14
860, 12
861, 12
862, 12
863, 11
864, 10
865, 10
866, 11
867, 11
868, 11
869, 10
870, 9
871, 9
872, 10
873, 11
874, 11
875, 11
876, 11
877, 11
878, 11
879, 10
880, 9
881, 9
882, 9
883, 9
884, 8
885, 7
886, 7
887, 8
888, 8
889, 8
890, 8
891, 7
892, 7
893, 8
894, 9
895, 10
896, 10
897, 10
898, 9
899, 8
900, 8
901, 8
902, 9
903, 9
904, 9
905, 9
906, 9
907, 9
908, 9
909, 9
910, 9
911, 8
912, 8
913, 8
914, 7
915, 7
916, 9
917, 9
918, 9
919, 9
920, 10
921, 10
922, 11
923, 11
924, 11
925, 10
926, 10
927, 11
928, 10
929, 10
930, 9
931, 9
932, 9
933, 9
934, 9
935, 9
936, 10
937, 8
938, 8
939, 8
940, 8
941, 8
942, 7
943, 7
944, 7
945, 7
946, 7
947, 8
948, 7
949, 8
950, 6
951, 6
952, 6
953, 6
954, 5
955, 5
956, 5
957, 5
958, 5
959, 5
960, 5
961, 4
962, 4
963, 4
964, 4
965, 4
966, 4
967, 4
968, 4
969, 4
970, 5
971, 4
972, 4
973, 4
974, 4
975, 4
976, 4
977, 4
978, 4
979, 4
980, 4
981, 4
982, 3
983, 2
984, 2
985, 2
986, 2
987, 2
988, 1
989, 1
990, 1
991, 1
992, 1
993, 1
994, 1
995, 1
996, 1
997, 1
998, 1
999, 1
1000, 1
1001, 1
1002, 0
1003, 0
1004, 0
1005, 0
1006, 0
1007, 0
1008, 0
1009, 0
1010, 0
1011, 0
1012, 0
1013, 0
1014, 0
1015, 0
1016, 0
1017, 0
1018, 0
1019, 0
1020, 0
1021, 0
1022, 0
1023, 0
1024, 0
1025, 0
1026, 0
1027, 0
1028, 0
1029, 0
1030, 0
1031, 0
1032, 0
1033, 0
1034, 0
1035, 0
1036, 0
1037, 0
1038, 0
1039, 0
1040, 0
1041, 0
1042, 0
1043, 0
1044, 0
1045, 0
1046, 0
1047, 0
1048, 0
1049, 0
1050, 0
1051, 0
1052, 0
1053, 0
1054, 0
1055, 0
1056, 0
1057, 0
1058, 0
1059, 0
1060, 0
1061, 0
1062, 0
1063, 0
1064, 0
1065, 0
1066, 0
1067, 0
1068, 0
1069, 0
1070, 0
1071, 0
1072, 0
1073, 0
1074, 0
1075, 0
1076, 0
1077, 0
1078, 0
1079, 0
1080, 0
1081, 0
1082, 0
1083, 0
1084, 0
1085, 0
1086, 0
1087, 0
1088, 0
1089, 0
1090, 0
1091, 0
1092, 0
1093, 0
1094, 0
1095, 0
1096, 0
1097, 0
1098, 0
1099, 0
1100, 0
1101, 0
1102, 0
1103, 0
1104, 0
1105, 0
1106, 0
1107, 0
1108, 0
1109, 0
1110, 0
1111, 0
1112, 0
1113, 0
1114, 0
1115, 0
1116, 0
1117, 0
1118, 0
1119, 0
1120, 0
1121, 0
1122, 0
1123, 0
1124, 0
1125, 0
1126, 0
1127, 0
1128, 0
1129, 0
1130, 0
1131, 0
1132, 0
1133, 0
1134, 0
1135, 0
1136, 0
1137, 0
1138, 0
1139, 0
1140, 0
1141, 0
1142, 0
1143, 0
1144, 0
1145, 0
1146, 0
1147, 0
1148, 0
1149, 0
1150, 0
1151, 0
1152, 0
1153, 0
1154, 0
1155, 0
1156, 0
1157, 0
1158, 0
1159, 0
1160, 0
1161, 0
1162, 0
1163, 0
1164, 0
1165, 0
1166, 0
1167, 0
1168, 0
1169, 0
1170, 0
1171, 0
1172, 0
1173, 0
1174, 0
1175, 0
1176, 0
1177, 0
1178, 0
1179, 0
1180, 0
1181, 0
1182, 0
1183, 0
1184, 0
1185, 0
1186, 0
1187, 0
1188, 0
1189, 0
1190, 0
1191, 0
1192, 0
1193, 0
1194, 0
1195, 0
1196, 0
1197, 0
1198, 0
1199, 0
1200, 0
1201, 0
1202, 0
1203, 0
1204, 0
1205, 0
1206, 0
1207, 0
1208, 0
1209, 0
1210, 0
1211, 0
1212, 0
1213, 0
1214, 0
1215, 0
1216, 0
1217, 0
1218, 0
1219, 0
1220, 0
1221, 0
1222, 0
1223, 0
1224, 0
1225, 0
1226, 0
1227, 0
1228, 0
1229, 0
1230, 0
1231, 0
1232, 0
1233, 0
1234, 0
1235, 0
1236, 0
1237, 0
1238, 0
1239, 0
1240, 0
1241, 0
1242, 0
1243, 0
1244, 0
1245, 0
1246, 0
1247, 0
1248, 0
1249, 0
1250, 0
