Year, Number of Households
800, 14
801, 15
802, 17
803, 17
804, 17
805, 18
806, 18
807, 18
808, 19
809, 20
810, 23
811, 26
812, 26
813, 27
814, 28
815, 28
816, 27
817, 29
818, 28
819, 27
820, 26
821, 26
822, 27
823, 29
824, 29
825, 30
826, 30
827, 34
828, 37
829, 43
830, 49
831, 53
832, 54
833, 59
834, 61
835, 65
836, 66
837, 67
838, 71
839, 72
840, 74
841, 75
842, 74
843, 71
844, 71
845, 71
846, 70
847, 73
848, 75
849, 80
850, 83
851, 92
852, 105
853, 115
854, 119
855, 130
856, 143
857, 149
858, 157
859, 165
860, 172
861, 171
862, 173
863, 173
864, 173
865, 172
866, 171
867, 174
868, 171
869, 171
870, 179
871, 172
872, 176
873, 176
874, 177
875, 154
876, 145
877, 162
878, 164
879, 148
880, 154
881, 146
882, 160
883, 149
884, 131
885, 130
886, 128
887, 107
888, 104
889, 103
890, 102
891, 93
892, 81
893, 79
894, 80
895, 74
896, 68
897, 71
898, 68
899, 67
900, 71
901, 53
902, 47
903, 52
904, 44
905, 43
906, 48
907, 41
908, 42
909, 47
910, 41
911, 40
912, 40
913, 38
914, 37
915, 34
916, 33
917, 28
918, 27
919, 25
920, 24
921, 20
922, 21
923, 20
924, 20
925, 19
926, 18
927, 18
928, 17
929, 18
930, 18
931, 16
932, 18
933, 18
934, 15
935, 16
936, 13
937, 12
938, 15
939, 13
940, 12
941, 13
942, 11
943, 10
944, 8
945, 7
946, 7
947, 7
948, 6
949, 6
950, 8
951, 8
952, 4
953, 4
954, 4
955, 3
956, 4
957, 4
958, 3
959, 3
960, 3
961, 2
962, 2
963, 2
964, 1
965, 0
966, 0
967, 0
968, 0
969, 0
970, 0
971, 0
972, 0
973, 0
974, 0
975, 0
976, 0
977, 0
978, 0
979, 0
980, 0
981, 0
982, 0
983, 0
984, 0
985, 0
986, 0
987, 0
988, 0
989, 0
990, 0
991, 0
992, 0
993, 0
994, 0
995, 0
996, 0
997, 0
998, 0
999, 0
1000, 0
1001, 0
1002, 0
1003, 0
1004, 0
1005, 0
1006, 0
1007, 0
1008, 0
1009, 0
1010, 0
1011, 0
1012, 0
1013, 0
1014, 0
1015, 0
1016, 0
1017, 0
1018, 0
1019, 0
1020, 0
1021, 0
1022, 0
1023, 0
1024, 0
1025, 0
1026, 0
1027, 0
1028, 0
1029, 0
1030, 0
1031, 0
1032, 0
1033, 0
1034, 0
1035, 0
1036, 0
1037, 0
1038, 0
1039, 0
1040, 0
1041, 0
1042, 0
1043, 0
1044, 0
1045, 0
1046, 0
1047, 0
1048, 0
1049, 0
1050, 0
1051, 0
1052, 0
1053, 0
1054, 0
1055, 0
1056, 0
1057, 0
1058, 0
1059, 0
1060, 0
1061, 0
1062, 0
1063, 0
1064, 0
1065, 0
1066, 0
1067, 0
1068, 0
1069, 0
1070, 0
1071, 0
1072, 0
1073, 0
1074, 0
1075, 0
1076, 0
1077, 0
1078, 0
1079, 0
1080, 0
1081, 0
1082, 0
1083, 0
1084, 0
1085, 0
1086, 0
1087, 0
1088, 0
1089, 0
1090, 0
1091, 0
1092, 0
1093, 0
1094, 0
1095, 0
1096, 0
1097, 0
1098, 0
1099, 0
1100, 0
1101, 0
1102, 0
1103, 0
1104, 0
1105, 0
1106, 0
1107, 0
1108, 0
1109, 0
1110, 0
1111, 0
1112, 0
1113, 0
1114, 0
1115, 0
1116, 0
1117, 0
1118, 0
1119, 0
1120, 0
1121, 0
1122, 0
1123, 0
1124, 0
1125, 0
1126, 0
1127, 0
1128, 0
1129, 0
1130, 0
1131, 0
1132, 0
1133, 0
1134, 0
1135, 0
1136, 0
1137, 0
1138, 0
1139, 0
1140, 0
1141, 0
1142, 0
1143, 0
1144, 0
1145, 0
1146, 0
1147, 0
1148, 0
1149, 0
1150, 0
1151, 0
1152, 0
1153, 0
1154, 0
1155, 0
1156, 0
1157, 0
1158, 0
1159, 0
1160, 0
1161, 0
1162, 0
1163, 0
1164, 0
1165, 0
1166, 0
1167, 0
1168, 0
1169, 0
1170, 0
1171, 0
1172, 0
1173, 0
1174, 0
1175, 0
1176, 0
1177, 0
1178, 0
1179, 0
1180, 0
1181, 0
1182, 0
1183, 0
1184, 0
1185, 0
1186, 0
1187, 0
1188, 0
1189, 0
1190, 0
1191, 0
1192, 0
1193, 0
1194, 0
1195, 0
1196, 0
1197, 0
1198, 0
1199, 0
1200, 0
1201, 0
1202, 0
1203, 0
1204, 0
1205, 0
1206, 0
1207, 0
1208, 0
1209, 0
1210, 0
1211, 0
1212, 0
1213, 0
1214, 0
1215, 0
1216, 0
1217, 0
1218, 0
1219, 0
1220, 0
1221, 0
1222, 0
1223, 0
1224, 0
1225, 0
1226, 0
1227, 0
1228, 0
1229, 0
1230, 0
1231, 0
1232, 0
1233, 0
1234, 0
1235, 0
1236, 0
1237, 0
1238, 0
1239, 0
1240, 0
1241, 0
1242, 0
1243, 0
1244, 0
1245, 0
1246, 0
1247, 0
1248, 0
1249, 0
1250, 0
